"","log_area_z","sex","cross","fit","se","lower","upper"
"1",-3.5,"f","zi251xef43",0.163832442679487,0.0744717731524282,0.0632413148230811,0.362506493097436
"2",-3.4,"f","zi251xef43",0.165953729338478,0.0735339697224002,0.0656300190178657,0.360471000860705
"3",-3.2,"f","zi251xef43",0.170262220517705,0.0715631346767919,0.0706591626262446,0.356420985187388
"4",-3.1,"f","zi251xef43",0.172449589557781,0.0705295996902619,0.0733042882229389,0.354406845691292
"5",-3,"f","zi251xef43",0.174659144566723,0.0694636758068831,0.076039601643141,0.352400228450371
"6",-2.9,"f","zi251xef43",0.176890958632373,0.0683651507581654,0.0788674805042438,0.350401359110992
"7",-2.8,"f","zi251xef43",0.179145100987215,0.0672338305577697,0.081790306715135,0.34841048026512
"8",-2.6,"f","zi251xef43",0.183720627593507,0.0648721303244326,0.0879303116590631,0.344453764136542
"9",-2.5,"f","zi251xef43",0.186042130096562,0.0636414697509554,0.0911522149589977,0.34248852076573
"10",-2.4,"f","zi251xef43",0.188386197183702,0.0623774574992921,0.0944784978910838,0.340532462973673
"11",-2.3,"f","zi251xef43",0.190752877249249,0.0610800207947457,0.0979114523066882,0.338585964093193
"12",-2.2,"f","zi251xef43",0.193142214207894,0.0597491192778762,0.101453322773289,0.336649437113226
"13",-2,"f","zi251xef43",0.19798901144453,0.0569869459367992,0.108872475154523,0.332808190068933
"14",-1.9,"f","zi251xef43",0.200446536224424,0.0555557932455546,0.11275388550857,0.330904560702061
"15",-1.8,"f","zi251xef43",0.202926846696655,0.054091425702913,0.11675243306346,0.329013105861516
"16",-1.7,"f","zi251xef43",0.205429962834929,0.0525940383639576,0.120869893563027,0.327134567886371
"17",-1.6,"f","zi251xef43",0.207955899520426,0.0510638957299831,0.125107884447186,0.325269796284908
"18",-1.4,"f","zi251xef43",0.213076267998864,0.0479068214922651,0.13395094734341,0.321585621534832
"19",-1.3,"f","zi251xef43",0.215670703200793,0.0462808840316833,0.138558158514302,0.31976867680481
"20",-1.2,"f","zi251xef43",0.21828796557439,0.0446242197554046,0.143290081805032,0.317970492399601
"21",-1.1,"f","zi251xef43",0.220928043067113,0.0429376814644949,0.148146944166701,0.316192913628376
"22",-0.97,"f","zi251xef43",0.224394222553068,0.0407022820235061,0.154647183175947,0.313916545905859
"23",-0.85,"f","zi251xef43",0.227627922419724,0.0385981762297069,0.160832681701117,0.311854725595232
"24",-0.73,"f","zi251xef43",0.230894349813962,0.0364581545812444,0.167192781253057,0.309836980170579
"25",-0.61,"f","zi251xef43",0.234193437523701,0.0342861965675646,0.173722213958828,0.307871128079928
"26",-0.49,"f","zi251xef43",0.237525105714615,0.0320875512325949,0.180412964507777,0.305967397535196
"27",-0.37,"f","zi251xef43",0.240889261725273,0.0298692337349925,0.187253269709987,0.304139397490075
"28",-0.25,"f","zi251xef43",0.244285799869198,0.0276407660704983,0.194226139638108,0.302405566940541
"29",-0.13,"f","zi251xef43",0.247714601244295,0.0254153006066246,0.201307129028206,0.300791374106401
"30",-0.012,"f","zi251xef43",0.251117588821303,0.0232477735800298,0.208341351162226,0.299355482692224
"31",0.11,"f","zi251xef43",0.254668450913246,0.0210554424899727,0.215636101329728,0.298081054247259
"32",0.23,"f","zi251xef43",0.258193193721733,0.0189862315679326,0.222757080527078,0.29711158873546
"33",0.35,"f","zi251xef43",0.261749588468231,0.0170604125237736,0.229712488210343,0.296534714017198
"34",0.47,"f","zi251xef43",0.265337447603064,0.0153602682845252,0.236340380585265,0.29651084887451
"35",0.59,"f","zi251xef43",0.268956569397185,0.013999608750551,0.242416619940007,0.297262021931366
"36",0.7,"f","zi251xef43",0.272301376833405,0.0131698828671408,0.247266827045857,0.298864207386378
"37",0.82,"f","zi251xef43",0.275979802561648,0.0128464102658245,0.251524004752144,0.301854481438939
"38",0.94,"f","zi251xef43",0.279688820447589,0.0132043046461281,0.254554737744403,0.306284919574959
"39",1.1,"f","zi251xef43",0.284681316732931,0.0146937115898697,0.256778337987328,0.314334012971024
"40",1.2,"f","zi251xef43",0.287828722451113,0.0161125573011949,0.257306721668605,0.320409313730763
"41",1.3,"f","zi251xef43",0.290996769723081,0.0178207350299723,0.257339982096506,0.327116557659331
"42",1.4,"f","zi251xef43",0.294185282687937,0.0197560455302632,0.256999079020499,0.334330966817384
"43",1.5,"f","zi251xef43",0.297394078317674,0.0218696721734152,0.256378728032362,0.341953690759767
"44",1.7,"f","zi251xef43",0.303871749555168,0.0264951705236856,0.254563625565225,0.358142038258881
"45",1.8,"f","zi251xef43",0.307140223184126,0.0289602381665454,0.253458525121961,0.366608195083789
"46",1.9,"f","zi251xef43",0.310428175519356,0.0315054822107735,0.252262153235135,0.375274873272661
"47",2,"f","zi251xef43",0.313735387607208,0.0341197823340196,0.250995161483852,0.384115783745322
"48",2.1,"f","zi251xef43",0.317061633324565,0.0367946115219183,0.249673075202009,0.393109490405081
"49",2.3,"f","zi251xef43",0.323770285414022,0.0423005666796768,0.246908217960162,0.4114857622808
"50",2.4,"f","zi251xef43",0.327152203869549,0.0451220759159265,0.245481700217226,0.420839009149237
"51",-3.5,"m","zi251xef43",0.0717771378963285,0.025895737807323,0.0348409123172576,0.142105537682201
"52",-3.4,"m","zi251xef43",0.0745580293556429,0.025871102600957,0.0371985028160424,0.143833481988916
"53",-3.2,"m","zi251xef43",0.0804188732721156,0.0257016512020183,0.0423770119465746,0.147356005130857
"54",-3.1,"m","zi251xef43",0.0835044549846922,0.0255522706203408,0.0452153742052673,0.149152223271488
