perp,line,slide,sex,fly,pcvl ,acvl ,log vein loss ,extra vein
KP,ef43,1,f,1,0,0,0,0
KP,ef43,1,f,2,0,0,0,0
KP,ef43,1,f,3,1,0,0,0
KP,ef43,1,f,4,0,0,0,0
KP,ef43,1,f,5,1,0,0,0
KP,ef43,1,f,6,1,1,0,0
KP,ef43,1,f,7,0,0,0,0
KP,ef43,1,f,8,0,0,0,0
KP,ef43,1,f,9,0,0,0,0
KP,ef43,1,f,10,0,0,0,0
KP,ef43,1,f,11,1,0,1,0
KP,ef43,1,f,12,1,0,1,0
KP,ef43,1,f,13,1,0,1,0
KP,ef43,1,f,14,0,0,0,0
KP,ef43,1,f,15,1,1,0,0
KP,ef43,1,f,16,1,0,0,0
KP,ef43,1,f,17,0,0,0,0
KP,ef43,1,f,18,0,0,0,0
KP,ef43,1,f,19,0,0,0,0
KP,ef43,1,f,20,1,0,0,0
KP,ef43,1,m,1,0,0,0,0
KP,ef43,1,m,2,0,0,0,0
KP,ef43,1,m,3,1,0,1,0
KP,ef43,1,m,4,0,0,0,0
KP,ef43,1,m,5,1,0,0,0
KP,ef43,1,m,6,0,0,0,0
KP,ef43,1,m,7,0,0,0,0
KP,ef43,1,m,8,0,0,0,0
KP,ef43,1,m,9,1,1,1,0
KP,ef43,1,m,10,0,0,0,0
KP,ef43,1,m,11,0,0,0,0
KP,ef43,1,m,12,1,0,0,0
KP,ef43,1,m,13,0,0,0,0
KP,ef43,1,m,14,1,0,0,0
KP,ef43,1,m,15,0,0,0,0
KP,ef43,1,m,16,0,0,0,0
KP,ef43,1,m,17,0,0,0,0
KP,ef43,1,m,18,0,0,0,0
KP,ef43,1,m,19,0,0,0,0
KP,ef43,1,m,20,0,0,0,0
KP,ef43,2,f,1,0,0,0,0
KP,ef43,2,f,2,0,0,0,0
KP,ef43,2,f,3,0,0,0,0
KP,ef43,2,f,4,1,0,0,0
KP,ef43,2,f,5,0,0,0,0
KP,ef43,2,f,6,1,0,0,0
KP,ef43,2,f,7,0,0,0,0
KP,ef43,2,f,8,0,0,0,0
KP,ef43,2,f,9,0,0,0,0
KP,ef43,2,f,10,0,0,0,0
KP,ef43,2,f,11,0,0,0,0
KP,ef43,2,f,12,0,0,0,0
KP,ef43,2,f,13,0,0,0,0
KP,ef43,2,f,14,0,0,0,0
KP,ef43,2,f,15,0,0,0,0
KP,ef43,2,f,16,0,0,0,0
KP,ef43,2,f,17,0,0,0,0
KP,ef43,2,f,18,1,0,1,0
KP,ef43,2,f,19,1,0,1,0
KP,ef43,2,f,20,0,0,0,0
