wingRegion,Image,tricomeCount
1,KP_EF_R1_05.tif,66
2,KP_EF_R1_05.tif,61
3,KP_EF_R1_05.tif,82
4,KP_EF_R1_05.tif,74
5,KP_EF_R1_05.tif,83
6,KP_EF_R1_05.tif,75
7,KP_EF_R1_05.tif,73
8,KP_EF_R1_05.tif,80
9,KP_EF_R1_05.tif,84
10,KP_EF_R1_05.tif,89
11,KP_EF_R1_05.tif,87
12,KP_EF_R1_05.tif,79
13,KP_EF_R1_05.tif,78
14,KP_EF_R1_05.tif,71
15,KP_EF_R1_05.tif,74
16,KP_EF_R1_05.tif,75
1,KP_EF_R1_04.tif,67
2,KP_EF_R1_04.tif,75
3,KP_EF_R1_04.tif,94
4,KP_EF_R1_04.tif,83
5,KP_EF_R1_04.tif,79
6,KP_EF_R1_04.tif,79
7,KP_EF_R1_04.tif,97
8,KP_EF_R1_04.tif,84
9,KP_EF_R1_04.tif,88
10,KP_EF_R1_04.tif,100
11,KP_EF_R1_04.tif,88
12,KP_EF_R1_04.tif,86
13,KP_EF_R1_04.tif,81
14,KP_EF_R1_04.tif,81
15,KP_EF_R1_04.tif,78
16,KP_EF_R1_04.tif,86
1,KP_EF_R1_03.tif,60
2,KP_EF_R1_03.tif,69
3,KP_EF_R1_03.tif,82
4,KP_EF_R1_03.tif,67
5,KP_EF_R1_03.tif,81
6,KP_EF_R1_03.tif,58
7,KP_EF_R1_03.tif,73
8,KP_EF_R1_03.tif,88
9,KP_EF_R1_03.tif,85
10,KP_EF_R1_03.tif,77
11,KP_EF_R1_03.tif,72
12,KP_EF_R1_03.tif,71
13,KP_EF_R1_03.tif,91
14,KP_EF_R1_03.tif,65
15,KP_EF_R1_03.tif,63
16,KP_EF_R1_03.tif,69
1,KP_EF_R1_02.tif,68
2,KP_EF_R1_02.tif,65
3,KP_EF_R1_02.tif,72
4,KP_EF_R1_02.tif,66
5,KP_EF_R1_02.tif,81
6,KP_EF_R1_02.tif,70
7,KP_EF_R1_02.tif,78
8,KP_EF_R1_02.tif,78
9,KP_EF_R1_02.tif,89
10,KP_EF_R1_02.tif,84
11,KP_EF_R1_02.tif,72
