Wing_ID,trichome_count,Wing_Region
DS_Zi418Ef43_c1217_plate1a_f_01.tif,58,1
DS_Zi418Ef43_c1217_plate1a_f_01.tif,68,2
DS_Zi418Ef43_c1217_plate1a_f_01.tif,73,3
DS_Zi418Ef43_c1217_plate1a_f_01.tif,63,4
DS_Zi418Ef43_c1217_plate1a_f_01.tif,67,5
DS_Zi418Ef43_c1217_plate1a_f_01.tif,67,6
DS_Zi418Ef43_c1217_plate1a_f_01.tif,61,7
DS_Zi418Ef43_c1217_plate1a_f_01.tif,74,8
DS_Zi418Ef43_c1217_plate1a_f_01.tif,74,9
DS_Zi418Ef43_c1217_plate1a_f_01.tif,61,10
DS_Zi418Ef43_c1217_plate1a_f_01.tif,66,11
DS_Zi418Ef43_c1217_plate1a_f_01.tif,62,12
DS_Zi418Ef43_c1217_plate1a_f_01.tif,69,13
DS_Zi418Ef43_c1217_plate1a_f_01.tif,67,14
DS_Zi418Ef43_c1217_plate1a_f_01.tif,60,15
DS_Zi418Ef43_c1217_plate1a_f_01.tif,66,16
DS_Zi418Ef43_c1217_plate1a_f_02.tif,55,1
DS_Zi418Ef43_c1217_plate1a_f_02.tif,55,2
DS_Zi418Ef43_c1217_plate1a_f_02.tif,69,3
DS_Zi418Ef43_c1217_plate1a_f_02.tif,63,4
DS_Zi418Ef43_c1217_plate1a_f_02.tif,69,5
DS_Zi418Ef43_c1217_plate1a_f_02.tif,59,6
DS_Zi418Ef43_c1217_plate1a_f_02.tif,60,7
DS_Zi418Ef43_c1217_plate1a_f_02.tif,70,8
DS_Zi418Ef43_c1217_plate1a_f_02.tif,83,9
DS_Zi418Ef43_c1217_plate1a_f_02.tif,67,10
DS_Zi418Ef43_c1217_plate1a_f_02.tif,70,11
DS_Zi418Ef43_c1217_plate1a_f_02.tif,70,12
DS_Zi418Ef43_c1217_plate1a_f_02.tif,75,13
DS_Zi418Ef43_c1217_plate1a_f_02.tif,75,14
DS_Zi418Ef43_c1217_plate1a_f_02.tif,59,15
DS_Zi418Ef43_c1217_plate1a_f_02.tif,65,16
DS_Zi418Ef43_c1217_plate1a_f_03.tif,58,1
DS_Zi418Ef43_c1217_plate1a_f_03.tif,61,2
DS_Zi418Ef43_c1217_plate1a_f_03.tif,70,3
DS_Zi418Ef43_c1217_plate1a_f_03.tif,63,4
DS_Zi418Ef43_c1217_plate1a_f_03.tif,70,5
DS_Zi418Ef43_c1217_plate1a_f_03.tif,57,6
DS_Zi418Ef43_c1217_plate1a_f_03.tif,62,7
DS_Zi418Ef43_c1217_plate1a_f_03.tif,78,8
DS_Zi418Ef43_c1217_plate1a_f_03.tif,69,9
DS_Zi418Ef43_c1217_plate1a_f_03.tif,70,10
DS_Zi418Ef43_c1217_plate1a_f_03.tif,70,11
DS_Zi418Ef43_c1217_plate1a_f_03.tif,55,12
