plate,row,fly,sex,pcvl,full,partial,acvl,log vein loss,extra vein,
plate1,a,1,f,0,0,0,0,0,0,
plate1,a,2,f,1,1,0,1,0,0,
plate1,a,3,f,0,0,0,0,0,0,
plate1,a,4,f,1,0,1,0,0,0,
plate1,a,5,f,0,0,0,0,0,0,
plate1,a,6,f,0,0,0,0,0,0,
plate1,a,7,f,0,0,0,0,0,0,
plate1,a,8,f,NA,NA,NA,NA,NA,NA,
plate1,a,9,f,0,0,0,0,0,0,
plate1,a,10,f,0,0,0,0,1,0,
plate1,a,11,f,0,0,0,0,0,0,
plate1,a,12,f,0,0,0,0,0,0,
plate1,b,1,m,0,0,0,0,0,0,
plate1,b,2,m,0,0,0,0,0,0,
plate1,b,3,m,0,0,0,0,0,0,
plate1,b,4,m,1,0,1,1,0,0,
plate1,b,5,m,0,0,0,0,0,0,
plate1,b,6,m,0,0,0,0,0,0,
plate1,b,7,m,0,0,0,0,0,1,
plate1,b,8,m,0,0,0,0,0,0,
plate1,b,9,m,0,0,0,0,0,0,
plate1,b,10,m,0,0,0,0,0,0,
plate1,b,11,m,0,0,0,0,0,0,
plate1,b,12,m,0,0,0,0,0,0,
plate1,c,1,f,0,0,0,0,0,0,
plate1,c,2,f,1,1,0,1,1,0,
plate1,c,3,f,0,0,0,0,0,0,
plate1,c,4,f,1,1,0,1,0,0,
plate1,c,5,f,0,0,0,0,0,0,
plate1,c,6,f,0,0,0,0,0,0,
plate1,c,7,f,0,0,0,0,0,0,
plate1,c,8,f,0,0,0,0,0,0,
plate1,c,9,f,1,1,0,1,0,0,
plate1,c,10,f,0,0,0,0,0,0,
plate1,c,11,f,0,0,0,0,0,0,
plate1,c,12,f,0,0,0,0,0,0,
plate1,d,1,m,0,0,0,0,0,0,
plate1,d,2,m,0,0,0,0,0,0,
plate1,d,3,m,0,0,0,0,0,0,
plate1,d,4,m,0,0,0,0,0,0,
plate1,d,5,m,0,0,0,0,0,0,
plate1,d,6,m,0,0,0,0,0,0,
plate1,d,7,m,1,1,0,0,0,0,
plate1,d,8,m,0,0,0,0,0,0,
plate1,d,9,m,0,0,0,0,0,0,
plate1,d,10,m,0,0,0,0,0,0,
plate1,d,11,m,0,0,0,0,0,0,
plate1,d,12,m,0,0,0,0,0,0,
plate1,e,1,f,1,1,0,1,0,0,
plate1,e,2,f,1,0,1,0,0,0,
plate1,e,3,f,0,0,0,0,0,0,
plate1,e,4,f,0,0,0,0,0,0,
plate1,e,5,f,0,0,0,0,0,0,
plate1,e,6,f,1,1,0,1,0,0,
plate1,e,7,f,0,0,0,0,0,0,
plate1,e,8,f,0,0,0,0,0,0,
plate1,e,9,f,0,0,0,0,0,0,
plate1,e,10,f,0,0,0,0,0,0,
plate1,e,11,f,0,0,0,0,0,0,
